2017-04-20 14:29:01.082 INFO  [main]org.apache.zookeeper.ZooKeeper -Client environment:java.class.path=C:\Program Files\Java\jdk1.7.0_71\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\jce.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\jfxrt.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\resources.jar;C:\Program Files\Java\jdk1.7.0_71\jre\lib\rt.jar;D:\zhoupeng\address-geocodes\target\classes;C:\Users\peng.zhou1\.m2\repository\com\alibaba\druid\1.0.29\druid-1.0.29.jar;C:\Program Files\Java\jdk1.7.0_71\lib\jconsole.jar;C:\Program Files\Java\jdk1.7.0_71\lib\tools.jar;C:\Users\peng.zhou1\.m2\repository\org\apache\commons\commons-lang3\3.3.2\commons-lang3-3.3.2.jar;C:\Users\peng.zhou1\.m2\repository\commons-codec\commons-codec\1.10\commons-codec-1.10.jar;C:\Users\peng.zhou1\.m2\repository\com\alibaba\fastjson\1.1.35\fastjson-1.1.35.jar;C:\Users\peng.zhou1\.m2\repository\org\mybatis\spring\boot\mybatis-spring-boot-starter\1.3.0\mybatis-spring-boot-starter-1.3.0.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\boot\spring-boot-starter\1.5.2.RELEASE\spring-boot-starter-1.5.2.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\boot\spring-boot\1.5.2.RELEASE\spring-boot-1.5.2.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\boot\spring-boot-autoconfigure\1.5.2.RELEASE\spring-boot-autoconfigure-1.5.2.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\boot\spring-boot-starter-logging\1.5.2.RELEASE\spring-boot-starter-logging-1.5.2.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\ch\qos\logback\logback-classic\1.1.11\logback-classic-1.1.11.jar;C:\Users\peng.zhou1\.m2\repository\ch\qos\logback\logback-core\1.1.11\logback-core-1.1.11.jar;C:\Users\peng.zhou1\.m2\repository\org\slf4j\jcl-over-slf4j\1.7.24\jcl-over-slf4j-1.7.24.jar;C:\Users\peng.zhou1\.m2\repository\org\slf4j\jul-to-slf4j\1.7.24\jul-to-slf4j-1.7.24.jar;C:\Users\peng.zhou1\.m2\repository\org\slf4j\log4j-over-slf4j\1.7.24\log4j-over-slf4j-1.7.24.jar;C:\Users\peng.zhou1\.m2\repository\org\yaml\snakeyaml\1.17\snakeyaml-1.17.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\boot\spring-boot-starter-jdbc\1.5.2.RELEASE\spring-boot-starter-jdbc-1.5.2.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\apache\tomcat\tomcat-jdbc\8.5.11\tomcat-jdbc-8.5.11.jar;C:\Users\peng.zhou1\.m2\repository\org\apache\tomcat\tomcat-juli\8.5.11\tomcat-juli-8.5.11.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\spring-jdbc\4.3.7.RELEASE\spring-jdbc-4.3.7.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\spring-tx\4.3.7.RELEASE\spring-tx-4.3.7.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\mybatis\spring\boot\mybatis-spring-boot-autoconfigure\1.3.0\mybatis-spring-boot-autoconfigure-1.3.0.jar;C:\Users\peng.zhou1\.m2\repository\org\mybatis\mybatis\3.4.4\mybatis-3.4.4.jar;C:\Users\peng.zhou1\.m2\repository\org\mybatis\mybatis-spring\1.3.1\mybatis-spring-1.3.1.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\boot\spring-boot-starter-aop\1.5.2.RELEASE\spring-boot-starter-aop-1.5.2.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\spring-aop\4.3.7.RELEASE\spring-aop-4.3.7.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\spring-beans\4.3.7.RELEASE\spring-beans-4.3.7.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\aspectj\aspectjweaver\1.8.9\aspectjweaver-1.8.9.jar;C:\Users\peng.zhou1\.m2\repository\com\oracle\ojdbc6\ojdbc6\11.2.0.1.0\ojdbc6-11.2.0.1.0.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\boot\spring-boot-starter-web\1.5.2.RELEASE\spring-boot-starter-web-1.5.2.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\boot\spring-boot-starter-tomcat\1.5.2.RELEASE\spring-boot-starter-tomcat-1.5.2.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\apache\tomcat\embed\tomcat-embed-core\8.5.11\tomcat-embed-core-8.5.11.jar;C:\Users\peng.zhou1\.m2\repository\org\apache\tomcat\embed\tomcat-embed-el\8.5.11\tomcat-embed-el-8.5.11.jar;C:\Users\peng.zhou1\.m2\repository\org\apache\tomcat\embed\tomcat-embed-websocket\8.5.11\tomcat-embed-websocket-8.5.11.jar;C:\Users\peng.zhou1\.m2\repository\org\hibernate\hibernate-validator\5.3.4.Final\hibernate-validator-5.3.4.Final.jar;C:\Users\peng.zhou1\.m2\repository\javax\validation\validation-api\1.1.0.Final\validation-api-1.1.0.Final.jar;C:\Users\peng.zhou1\.m2\repository\org\jboss\logging\jboss-logging\3.3.0.Final\jboss-logging-3.3.0.Final.jar;C:\Users\peng.zhou1\.m2\repository\com\fasterxml\classmate\1.3.3\classmate-1.3.3.jar;C:\Users\peng.zhou1\.m2\repository\com\fasterxml\jackson\core\jackson-databind\2.8.7\jackson-databind-2.8.7.jar;C:\Users\peng.zhou1\.m2\repository\com\fasterxml\jackson\core\jackson-annotations\2.8.0\jackson-annotations-2.8.0.jar;C:\Users\peng.zhou1\.m2\repository\com\fasterxml\jackson\core\jackson-core\2.8.7\jackson-core-2.8.7.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\spring-web\4.3.7.RELEASE\spring-web-4.3.7.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\spring-webmvc\4.3.7.RELEASE\spring-webmvc-4.3.7.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\spring-expression\4.3.7.RELEASE\spring-expression-4.3.7.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\org\ow2\asm\asm\5.0.3\asm-5.0.3.jar;C:\Users\peng.zhou1\.m2\repository\org\slf4j\slf4j-api\1.7.24\slf4j-api-1.7.24.jar;C:\Users\peng.zhou1\.m2\repository\junit\junit\4.12\junit-4.12.jar;C:\Users\peng.zhou1\.m2\repository\org\objenesis\objenesis\2.1\objenesis-2.1.jar;C:\Users\peng.zhou1\.m2\repository\org\hamcrest\hamcrest-core\1.3\hamcrest-core-1.3.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\spring-core\4.3.7.RELEASE\spring-core-4.3.7.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\com\feiniu\fsf\fsf-rpc\1.0\fsf-rpc-1.0.jar;C:\Users\peng.zhou1\.m2\repository\commons-fileupload\commons-fileupload\1.3\commons-fileupload-1.3.jar;C:\Users\peng.zhou1\.m2\repository\commons-io\commons-io\2.2\commons-io-2.2.jar;C:\Users\peng.zhou1\.m2\repository\com\feiniu\fsf\fsf-core\1.0\fsf-core-1.0.jar;C:\Users\peng.zhou1\.m2\repository\net\sf\json-lib\json-lib\2.4\json-lib-2.4-jdk15.jar;C:\Users\peng.zhou1\.m2\repository\net\sf\ezmorph\ezmorph\1.0.6\ezmorph-1.0.6.jar;C:\Users\peng.zhou1\.m2\repository\com\caucho\hessian\4.0.33\hessian-4.0.33.jar;C:\Users\peng.zhou1\.m2\repository\commons-lang\commons-lang\2.5\commons-lang-2.5.jar;C:\Users\peng.zhou1\.m2\repository\commons-collections\commons-collections\3.2.2\commons-collections-3.2.2.jar;C:\Users\peng.zhou1\.m2\repository\commons-beanutils\commons-beanutils\1.9.3\commons-beanutils-1.9.3.jar;C:\Users\peng.zhou1\.m2\repository\commons-logging\commons-logging\1.1.1\commons-logging-1.1.1.jar;C:\Users\peng.zhou1\.m2\repository\com\feiniu\fsf\fsf-remoting\1.0\fsf-remoting-1.0.jar;C:\Users\peng.zhou1\.m2\repository\org\jboss\netty\netty\3.2.2.Final\netty-3.2.2.Final.jar;C:\Users\peng.zhou1\.m2\repository\com\feiniu\fsf\fsf-codec\1.0\fsf-codec-1.0.jar;C:\Users\peng.zhou1\.m2\repository\com\esotericsoftware\kryo\3.0.3\kryo-3.0.3.jar;C:\Users\peng.zhou1\.m2\repository\com\esotericsoftware\reflectasm\1.10.1\reflectasm-1.10.1.jar;C:\Users\peng.zhou1\.m2\repository\com\esotericsoftware\minlog\1.3.0\minlog-1.3.0.jar;C:\Users\peng.zhou1\.m2\repository\de\ruedigermoeller\fst\2.04\fst-2.04.jar;C:\Users\peng.zhou1\.m2\repository\org\javassist\javassist\3.21.0-GA\javassist-3.21.0-GA.jar;C:\Users\peng.zhou1\.m2\repository\com\feiniu\fsf\fsf-register\1.0\fsf-register-1.0.jar;C:\Users\peng.zhou1\.m2\repository\org\apache\zookeeper\zookeeper\3.3.4\zookeeper-3.3.4.jar;C:\Users\peng.zhou1\.m2\repository\jline\jline\0.9.94\jline-0.9.94.jar;C:\Users\peng.zhou1\.m2\repository\com\101tec\zkclient\0.3\zkclient-0.3.jar;C:\Users\peng.zhou1\.m2\repository\com\feiniu\fsf\fsf-monitor\1.0\fsf-monitor-1.0.jar;C:\Users\peng.zhou1\.m2\repository\org\apache\kafka\kafka_2.9.2\0.8.1.1\kafka_2.9.2-0.8.1.1.jar;C:\Users\peng.zhou1\.m2\repository\org\scala-lang\scala-library\2.9.2\scala-library-2.9.2.jar;C:\Users\peng.zhou1\.m2\repository\com\yammer\metrics\metrics-core\2.2.0\metrics-core-2.2.0.jar;C:\Users\peng.zhou1\.m2\repository\com\feiniu\fsf\fsf-api\1.0\fsf-api-1.0.jar;C:\Users\peng.zhou1\.m2\repository\log4j\log4j\1.2.15\log4j-1.2.15.jar;C:\Users\peng.zhou1\.m2\repository\org\slf4j\slf4j-log4j12\1.7.24\slf4j-log4j12-1.7.24.jar;C:\Users\peng.zhou1\.m2\repository\org\springframework\spring-context\4.3.7.RELEASE\spring-context-4.3.7.RELEASE.jar;C:\Users\peng.zhou1\.m2\repository\com\feiniu\tms\tms-interfaces\1.0.4-SNAPSHOT\tms-interfaces-1.0.4-20170413.094137-1.jar;C:\Program Files (x86)\JetBrains\IntelliJ IDEA 2017.1\lib\idea_rt.jar
2017-04-20 14:29:01.082 INFO  [main]org.apache.zookeeper.ZooKeeper -Client environment:java.library.path=C:\Program Files\Java\jdk1.7.0_71\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;C:\Program Files (x86)\NASM;C:\Program Files\python;C:\Program Files\Java\jdk1.7.0_71\bin;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\Common Files\ThinPrint\;C:\Program Files\TortoiseSVN\bin;C:\Program Files\VisualSVN Server\bin;C:\Program Files\IDM Computer Solutions\UltraEdit;C:\Program Files\IDM Computer Solutions\UltraCompare;C:\Program Files\nodejs\;C:\Program Files\Git\cmd;C:\Users\peng.zhou1\AppData\Roaming\npm;.
2017-04-20 14:29:01.082 INFO  [main]org.apache.zookeeper.ZooKeeper -Client environment:java.io.tmpdir=C:\Users\PENG~1.ZHO\AppData\Local\Temp\
2017-04-20 14:29:01.082 INFO  [main]org.apache.zookeeper.ZooKeeper -Client environment:java.compiler=<NA>
2017-04-20 14:29:01.082 INFO  [main]org.apache.zookeeper.ZooKeeper -Client environment:os.name=Windows 7
2017-04-20 14:29:01.082 INFO  [main]org.apache.zookeeper.ZooKeeper -Client environment:os.arch=amd64
2017-04-20 14:29:01.082 INFO  [main]org.apache.zookeeper.ZooKeeper -Client environment:os.version=6.1
2017-04-20 14:29:01.082 INFO  [main]org.apache.zookeeper.ZooKeeper -Client environment:user.name=peng.zhou1
2017-04-20 14:29:01.082 INFO  [main]org.apache.zookeeper.ZooKeeper -Client environment:user.home=C:\Users\peng.zhou1
2017-04-20 14:29:01.082 INFO  [main]org.apache.zookeeper.ZooKeeper -Client environment:user.dir=D:\zhoupeng\address-geocodes
